leg_origin,leg_destination,leg_origin_cpt,List of Pathids,total_pallet_count,Travel Time,orig_type,dest_type,distance_km,num_HiRoof,num_Truck,num_Trailer,Total Cost
RUH_HUB,RUH_SC,2026-01-01 20:00:00,"[37, 67, 126, 127, 130, 133, 151, 474, 475, 476, 478, 479, 480, 481, 482, 483, 485, 486, 487, 488, 489, 490, 491, 492, 493]",338.0130769,0.0,Distribution Centers,Sort Centers,0,136,0,0,0
JED_HUB,JED_SC,2026-01-01 20:00:00,"[24, 27, 36, 38, 49, 53, 63, 72, 77, 78, 154, 495, 656, 657, 658, 659, 662, 665, 666, 667, 668, 672]",115.1211538,0.0,Distribution Centers,Sort Centers,0,0,0,6,0
JED_SC,JED_DS,2026-01-02 22:00:01,[493],78.14961538,0.0,Sort Centers,Stores,0,0,0,4,0
QFD_HUB,ANS_DS,2026-01-01 20:00:00,[1],0.014230769,1.5,Distribution Centers,Stores,165.0125,1,0,0,343.111225
RUH_SC,RUH_DS,2026-01-02 06:07:22,"[16, 56, 108, 117, 141, 179, 256, 267, 408, 470, 536, 589, 699, 808]",57.46230769,0.0,Sort Centers,Stores,0,0,0,3,0
QFD_HUB,GIZ_DS,2026-01-01 20:00:00,[10],0.115,2.9,Distribution Centers,Stores,331.1722,1,0,0,359.3948756
DMM_SC,DMM_DS,2026-01-02 06:55:36,"[97, 104, 482, 574]",49.72269231,0.0,Sort Centers,Stores,0,0,0,3,0
KMT_SC,WAE_DS,2026-01-01 23:48:16,"[100, 134, 275]",0.215384615,3.3,Sort Centers,Stores,388.1203,1,0,0,364.9757894
RUH_SC,RUH_DS,2026-01-02 22:05:00,[667],36.91807692,0.0,Sort Centers,Stores,0,0,0,2,0
HBT_SC,RAE_DS,2026-01-02 07:18:35,"[101, 258, 498, 613]",0.356923076,4.8,Sort Centers,Stores,571.9267,1,0,0,382.9888166
HAS_HUB,MED_SC,2026-01-01 20:00:00,"[102, 109, 116, 801, 806]",1.648461538,3.8,Distribution Centers,Sort Centers,444.7131,1,0,0,370.5218838
DMM_HUB,DMM_SC,2026-01-01 20:00:00,"[18, 43, 536, 539, 554, 565, 567, 568, 571]",31.13538462,0.0,Distribution Centers,Sort Centers,0,0,0,2,0
MED_SC,MED_DS,2026-01-02 22:06:24,[31],25.91576923,0.0,Sort Centers,Stores,0,0,0,2,0
MAK_SC,MAK_DS,2026-01-02 21:50:00,[486],25.68153846,0.0,Sort Centers,Stores,0,0,0,2,0
HAS_SC,URY_DS,2026-01-02 12:31:53,"[103, 195, 410, 472, 522, 700]",0.456923078,5.7,Sort Centers,Stores,670.9288,1,0,0,392.6910224
QJB_HUB,DMM_SC,2026-01-01 20:00:00,"[104, 106, 281, 291, 292, 340, 416, 441, 444, 448, 449]",1.129615385,1.1,Distribution Centers,Sort Centers,114.2515,1,0,0,338.136647
QJB_HUB,HBT_SC,2026-01-01 20:00:00,"[105, 300, 435, 437, 438, 442, 450, 454]",0.467307693,3.4,Distribution Centers,Sort Centers,402.3111,1,0,0,366.3664878
