id,path_type,sequence_id,path_origin,leg_origin,leg_destination,path_destination,total_pallet_count,city_0_tt_leg,highway_tt_leg,city_1_tt_leg,leg_origin_cpt,leg_cit,origin_cpt,destination_cit,total_transit_time,leg_vehicle_count_type
1,direct,0,QFD_HUB,QFD_HUB,ANS_DS,ANS_DS,0.014230769,0.125,1.2084375,0.125,2026-01-01 20:00:00,2026-01-01 21:27:30,2026-01-01 20:00:00,2026-01-01 21:27:30,1.4584375,HiRoof
2,direct,0,DWD_HUB,DWD_HUB,MJM_DS,MJM_DS,0.021538462,0.125,1.6633325,0.125,2026-01-01 20:00:00,2026-01-01 21:54:48,2026-01-01 20:00:00,2026-01-01 21:54:48,1.9133325,HiRoof
3,direct,0,EAM_HUB,EAM_HUB,WAE_DS,WAE_DS,0.029615385,0.125,3.198329167,0.125,2026-01-01 20:00:00,2026-01-01 23:26:54,2026-01-01 20:00:00,2026-01-01 23:26:54,3.448329167,HiRoof
4,direct,0,BUR_HUB,BUR_HUB,MJM_DS,MJM_DS,0.197692308,0.1875,1.082243333,0.125,2026-01-01 20:00:00,2026-01-01 21:23:41,2026-01-01 20:00:00,2026-01-01 21:23:41,1.394743333,HiRoof
5,direct,0,HBT_HUB,HBT_HUB,DMM_DS,DMM_DS,0.438846154,0.125,3.8131825,0.3125,2026-01-01 20:00:00,2026-01-02 00:15:02,2026-01-01 20:00:00,2026-01-02 00:15:02,4.2506825,HiRoof
6,direct,0,HBT_HUB,HBT_HUB,DWD_DS,DWD_DS,0.137692308,0.125,4.160366667,0.125,2026-01-01 20:00:00,2026-01-02 00:24:37,2026-01-01 20:00:00,2026-01-02 00:24:37,4.410366667,HiRoof
7,direct,0,BUR_HUB,BUR_HUB,DWD_DS,DWD_DS,0.456538462,0.1875,1.938605,0.125,2026-01-01 20:00:00,2026-01-01 22:15:04,2026-01-01 20:00:00,2026-01-01 22:15:04,2.251105,HiRoof
8,direct,0,GIZ_HUB,GIZ_HUB,EAM_DS,EAM_DS,0.302692308,0.1875,2.212205833,0.125,2026-01-01 20:00:00,2026-01-01 22:31:29,2026-01-01 20:00:00,2026-01-01 22:31:29,2.524705833,HiRoof
9,direct,0,TUU_HUB,TUU_HUB,MED_DS,MED_DS,0.451538462,0.1875,5.462073333,0.25,2026-01-01 20:00:00,2026-01-02 01:53:58,2026-01-01 20:00:00,2026-01-02 01:53:58,5.899573333,HiRoof
10,direct,0,QFD_HUB,QFD_HUB,GIZ_DS,GIZ_DS,0.115,0.125,2.551435,0.1875,2026-01-01 20:00:00,2026-01-01 22:51:50,2026-01-01 20:00:00,2026-01-01 22:51:50,2.863935,HiRoof
11,direct,0,ANS_HUB,ANS_HUB,QFD_DS,QFD_DS,0.038076923,0.125,1.262126667,0.125,2026-01-01 20:00:00,2026-01-01 21:30:44,2026-01-01 20:00:00,2026-01-01 21:30:44,1.512126667,HiRoof
12,direct,0,BUR_HUB,BUR_HUB,AKJ_DS,AKJ_DS,0.391538462,0.1875,3.4534975,0.125,2026-01-01 20:00:00,2026-01-01 23:45:58,2026-01-01 20:00:00,2026-01-01 23:45:58,3.7659975,HiRoof
13,direct,0,RUH_HUB,RUH_HUB,AKJ_DS,AKJ_DS,9.015384615,0.4375,0.3659833333,0.125,2026-01-01 20:00:00,2026-01-01 20:55:43,2026-01-01 20:00:00,2026-01-01 20:55:43,0.9284833333,HiRoof
14,direct,0,AJF_HUB,AJF_HUB,URY_DS,URY_DS,0.091923077,0.125,2.951430833,0.125,2026-01-01 20:00:00,2026-01-01 23:12:05,2026-01-01 20:00:00,2026-01-01 23:12:05,3.201430833,HiRoof
15,direct,0,RAE_HUB,RAE_HUB,AJF_DS,AJF_DS,0.05,0.125,1.219165833,0.125,2026-01-01 20:00:00,2026-01-01 21:28:09,2026-01-01 20:00:00,2026-01-01 21:28:09,1.469165833,HiRoof
16,1t,0,DWD_HUB,DWD_HUB,RUH_SC,RUH_DS,0.998076923,0.125,2.552693333,0.4375,2026-01-01 20:00:00,2026-01-01 23:06:55,2026-01-01 20:00:00,2026-01-02 06:07:22,10.12286167,HiRoof
16,1t,0.5,DWD_HUB,RUH_SC,RUH_SC,RUH_DS,0.998076923,0,2,0,2026-01-01 23:06:55,2026-01-02 01:06:55,2026-01-01 20:00:00,2026-01-02 06:07:22,10.12286167,sort
16,1t,1,DWD_HUB,RUH_SC,RUH_DS,RUH_DS,0.998076923,0,0,0,2026-01-02 06:07:22,2026-01-02 06:07:22,2026-01-01 20:00:00,2026-01-02 06:07:22,10.12286167,Trailer
17,1t,0,TIF_HUB,TIF_HUB,TIF_SC,ANS_DS,0.058846154,0,0,0,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-02 18:26:17,22.43793167,Truck
17,1t,0.5,TIF_HUB,TIF_SC,TIF_SC,ANS_DS,0.058846154,0,0,0,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-02 18:26:17,22.43793167,sort
17,1t,1,TIF_HUB,TIF_SC,ANS_DS,ANS_DS,0.058846154,0.1875,3.2598825,0.125,2026-01-02 14:51:56,2026-01-02 18:26:17,2026-01-01 20:00:00,2026-01-02 18:26:17,22.43793167,HiRoof
18,1t,0,DMM_HUB,DMM_HUB,DMM_SC,HUF_DS,3.153076923,0,0,0,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-02 19:36:21,23.60581583,Trailer
18,1t,0.5,DMM_HUB,DMM_SC,DMM_SC,HUF_DS,3.153076923,0,0,0,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-01 20:00:00,2026-01-02 19:36:21,23.60581583,sort
18,1t,1,DMM_HUB,DMM_SC,HUF_DS,HUF_DS,3.153076923,0.3125,0.8596066667,0.1875,2026-01-02 18:14:46,2026-01-02 19:36:21,2026-01-01 20:00:00,2026-01-02 19:36:21,23.60581583,HiRoof
19,1t,0,DMM_HUB,DMM_HUB,JED_SC,JED_DS,7.752692308,0.4166666667,16.243705,0.5,2026-01-01 20:00:00,2026-01-02 20:30:00,2026-01-01 20:00:00,2026-01-02 22:30:00,26.50009389,Trailer
19,1t,0.5,DMM_HUB,JED_SC,JED_SC,JED_DS,7.752692308,0,2,0,2026-01-02 20:30:00,2026-01-02 22:30:00,2026-01-01 20:00:00,2026-01-02 22:30:00,26.50009389,sort
19,1t,1,DMM_HUB,JED_SC,JED_DS,JED_DS,7.752692308,0,0,0,2026-01-02 22:30:00,2026-01-02 22:30:00,2026-01-01 20:00:00,2026-01-02 22:30:00,26.50009389,Truck
20,1t,0,DMM_HUB,DMM_HUB,RUH_SC,GIZ_DS,1.863076923,0.3125,2.9619475,0.4375,2026-01-01 20:00:00,2026-01-01 23:42:43,2026-01-01 20:00:00,2026-01-02 17:06:47,21.11301042,HiRoof
