Name,Latitude,Longitude
RUH_DS,24.6435009,46.8267235
AKJ_DS,24.1020278,47.2948333
BUR_DS,26.2320780,44.0331560
MJM_DS,25.9205149,45.3781843
DWD_DS,24.5038873,44.3518189
HBT_DS,28.4305358,46.0193566
JED_DS,21.5249541,39.2507519
MAK_DS,21.3856071,39.7170968
MED_DS,24.3110710,39.5388934
QFD_DS,19.1199797,41.0801232
YNB_DS,24.1205034,38.1260156
TIF_DS,21.3605434,40.4178187
ABT_DS,20.0961883,41.4428930
KMT_DS,18.3340013,42.6626059
EAM_DS,17.5687044,44.3467633
ANS_DS,19.1022921,42.1257335
WAE_DS,20.4655770,44.7984260
GIZ_DS,17.1871110,42.7507100
BSH_DS,19.9726526,42.6345893
MYL_DS,18.5382166,42.0235244
TUU_DS,28.4328460,36.6176180
DHB_DS,27.3506470,35.7051120
HAS_DS,27.4628091,41.8018672
AJF_DS,29.9526131,40.2143448
URY_DS,31.3345129,37.3354442
RAE_DS,30.9856747,41.0262234
DMM_DS,26.4141944,50.1365833
HUF_DS,25.4581971,49.5615433
QJB_DS,27.0793449,49.5346462
RUH_SC,24.6435009,46.8267235
AKJ_SC,24.1020278,47.2948333
BUR_SC,26.232078,44.033156
MJM_SC,25.9205149,45.3781843
DWD_SC,24.5038873,44.3518189
HBT_SC,28.4305358,46.0193566
JED_SC,21.5249541,39.2507519
MAK_SC,21.3856071,39.7170968
MED_SC,24.311071,39.5388934
QFD_SC,19.1199797,41.0801232
YNB_SC,24.1205034,38.1260156
TIF_SC,21.3605434,40.4178187
ABT_SC,20.0961883,41.442893
KMT_SC,18.3340013,42.6626059
EAM_SC,17.5687044,44.3467633
ANS_SC,19.1022921,42.1257335
WAE_SC,20.465577,44.798426
GIZ_SC,17.187111,42.75071
BSH_SC,19.9726526,42.6345893
MYL_SC,18.5382166,42.0235244
TUU_SC,28.432846,36.617618
DHB_SC,27.350647,35.705112
HAS_SC,27.4628091,41.8018672
AJF_SC,29.9526131,40.2143448
URY_SC,31.3345129,37.3354442
RAE_SC,30.9856747,41.0262234
DMM_SC,26.4141944,50.1365833
HUF_SC,25.4581971,49.5615433
QJB_SC,27.0793449,49.5346462
RUH_HUB,24.6435009,46.8267235
AKJ_HUB,24.1020278,47.2948333
BUR_HUB,26.232078,44.033156
MJM_HUB,25.9205149,45.3781843
DWD_HUB,24.5038873,44.3518189
HBT_HUB,28.4305358,46.0193566
JED_HUB,21.5249541,39.2507519
MAK_HUB,21.3856071,39.7170968
MED_HUB,24.311071,39.5388934
QFD_HUB,19.1199797,41.0801232
YNB_HUB,24.1205034,38.1260156
TIF_HUB,21.3605434,40.4178187
ABT_HUB,20.0961883,41.442893
KMT_HUB,18.3340013,42.6626059
EAM_HUB,17.5687044,44.3467633
ANS_HUB,19.1022921,42.1257335
WAE_HUB,20.465577,44.798426
GIZ_HUB,17.187111,42.75071
BSH_HUB,19.9726526,42.6345893
MYL_HUB,18.5382166,42.0235244
TUU_HUB,28.432846,36.617618
DHB_HUB,27.350647,35.705112
HAS_HUB,27.4628091,41.8018672
AJF_HUB,29.9526131,40.2143448
URY_HUB,31.3345129,37.3354442
RAE_HUB,30.9856747,41.0262234
DMM_HUB,26.4141944,50.1365833
HUF_HUB,25.4581971,49.5615433
QJB_HUB,27.0793449,49.5346462
